baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
EJCDLKNP_01904	8492.55994435011	-2.60258209653877	0.0897475999357867	-28.9989046882689	6.7921707995865e-185	6.05450477209432e-184
EJCDLKNP_01506	45591.6281939911	-2.60244912491373	0.0553241153171979	-47.0400495334219	0	0
EJCDLKNP_01503	70478.4542801996	-2.58577252266259	0.0607754845904674	-42.5463085993751	0	0
EJCDLKNP_01504	42010.0303412426	-2.58339494415784	0.0527540250741367	-48.9705750514264	0	0
EJCDLKNP_01031	52550.2810833826	-2.55402973104348	0.0581863739275637	-43.8939490235806	0	0
EJCDLKNP_01505	79823.7784537761	-2.55225807442454	0.0622233561871906	-41.0176858147352	0	0
EJCDLKNP_01025	2858.76483339571	-2.54823182438678	0.0693532884255191	-36.7427685440384	1.51681107069577e-295	2.22268314944883e-294
EJCDLKNP_01519	39192.4183312053	-2.5478568344238	0.0663876931548003	-38.3784510855469	0	0
EJCDLKNP_01493	15190.1827229215	-2.54267304838271	0.0620692026051265	-40.9651315251905	0	0
EJCDLKNP_01502	23071.8396732759	-2.54239519692679	0.0936485333451037	-27.148264965964	2.65430543530797e-162	2.14920041176958e-161
EJCDLKNP_00387	7441.11808514531	-2.53226233674751	0.062689693870115	-40.393598698919	0	0
EJCDLKNP_02997	83.7932932652192	-2.53026660950065	0.281131800930727	-9.00028599085498	2.25130453014916e-19	4.93643708654604e-19
EJCDLKNP_02357	113.829385726155	-2.52792645715178	0.232977438543801	-10.8505204321599	1.98293045575093e-27	4.98053769989615e-27
EJCDLKNP_01873	387.283082465763	-2.52719440284002	0.15894504292992	-15.8998000582772	6.35673069295031e-57	2.36624770775994e-56
EJCDLKNP_01766	489.040357297824	-2.52531798090551	0.123043555076141	-20.5237728976769	1.32055400764914e-93	6.92311385510999e-93
EJCDLKNP_01291	1275.82229930154	-2.52233403331482	0.0937581064387042	-26.9025701256438	2.04930348028962e-159	1.62430281129025e-158
